Compound Id	3D descriptor of the first component accessibility directional WHIM index
000075-89-8	0.588
000076-21-1	0.542
000121-17-5	0.536
000127-21-9	0.638
000311-89-7	0.428
000335-76-2	0.525
000344-07-0	0.454
000350-57-2	0.563
000355-42-0	0.541
000358-21-4	0.579
000360-53-2	0.605
000363-72-4	0.496
000375-01-9	0.505
000375-34-8	0.531
000375-73-5	0.572
000376-18-1	0.554
000376-53-4	0.452
000376-72-7	0.535
000376-89-6	0.446
000376-90-9	0.559
000422-56-0	0.48
000424-40-8	0.568
000425-87-6	0.629
000440-60-8	0.535
000447-14-3	0.505
000507-55-1	0.536
000684-16-2	0.596
000706-79-6	0.583
000754-91-6	0.551
000756-91-2	0.544
001478-61-1	0.465
001546-95-8	0.538
001599-41-3	0.527
002355-43-3	0.551
004151-50-2	0.549
013838-16-9	0.625
023152-45-6	0.526
024095-80-5	0.55
026675-46-7	0.576
028523-86-6	0.552
039660-55-4	0.527
061988-37-2	0.503
089426-93-7	0.557
089427-09-8	0.553
089427-15-6	0.556
089427-27-0	0.54
089427-28-1	0.533
089427-30-5	0.536
089427-31-6	0.546
138495-42-8	0.536
