Compound Id	Molecular weight
Tab1_1	211.3
Tab1_2	121.2
Tab1_3	151.2
Tab1_4	107.2
Tab1_5	108.1
Tab1_6	267.2
Tab1_7	198.3
Tab1_8	220.4
Tab1_9	122.2
Tab1_10	173
Tab1_11	108.1
Tab1_12	127.6
Tab1_13	128.6
Tab1_14	107.2
Tab1_15	108.1
Tab1_16	127.6
Tab1_17	121.2
Tab1_18	94.1
Tab1_19	330.8
Tab1_20	154.1
Tab1_21	212.3
Tab1_22	163
Tab1_23	234.4
Tab1_24	169.2
Tab1_25	184.2
Tab1_26	109.1
Tab1_27	220.4
Tab1_28	228.2
Tab1_29	170.2
Tab1_30	144.2
Tab1_31	145.2
Tab1_32	164.2
Tab1_33	205.3
Tab1_34	138.1
Tab1_35	150.2
Tab1_36	206.3
Tab1_37	178.3
Tab1_38	250.3
Tab1_39	177
Tab1_40	164.2
Tab1_41	158.2
Tab1_42	311.9
Tab1_43	164.2
Tab1_44	267.4
Tab1_45	292.3
Tab1_46	180.2
Tab1_47	220.4
Tab1_48	246.2
Tab1_49	289.5
Tab1_50	134.2
Tab1_51	94.1
Tab1_52	158.2
Tab1_53	94.1
Tab1_54	94.1
Tab1_55	311.9
Tab1_56	266.3
Tab1_57	206.3
Tab1_58	162
Tab1_59	364.9
Tab1_60	122.2
Tab1_61	231.9
Tab1_62	109.1
Tab1_63	212.3
Tab1_64	197.2
Tab1_65	251.9
Tab1_66	120.2
Tab1_67	200.2
Tab1_68	197.3
Tab1_69	93.1
Tab1_70	196.5
Tab1_71	270.4
Tab1_72	138.1
Tab1_73	262.4
Tab1_74	253.1
Tab1_75	268.4
Tab1_76	543.9
Tab1_77	228.3
Tab1_78	268.4
Tab1_79	198.2
Tab1_80	266.3
Tab1_81	135.2
Tab1_82	164.2
Tab1_83	139.1
Tab1_84	240.2
Tab1_85	172.6
Tab1_86	173.6
Tab1_87	150.2
Tab1_88	150.2
Tab1_89	122.1
Tab1_90	123.2
Tab1_91	219.3
Tab1_92	217.3
Tab1_93	143.2
Tab1_94	253.1
Tab1_95	186.2
Tab1_96	127.6
Tab1_97	107.2
Tab1_98	108.1
Tab1_99	162
Tab1_100	141.6
Tab1_101	162
Tab1_102	122.2
Tab1_103	197.4
Tab1_104	206.3
Tab1_105	168.2
Tab1_106	239.3
Tab1_107	152.1
Tab1_108	135.2
Tab1_109	138.1
A	150.2
B	138.1
C	170.2
D	109.1
E	122.2
F	111.1
G	111.1
H	211.5
I	149.2
J	138.1
Tab2_1	211.3
Tab2_2	121.2
Tab2_3	315.6
Tab2_4	198.3
Tab2_5	200.2
Tab2_6	220.4
Tab2_7	123.2
Tab2_8	122.2
Tab2_9	173
Tab2_10	108.1
Tab2_11	127.6
Tab2_12	128.6
Tab2_13	107.2
Tab2_14	108.1
Tab2_15	127.6
Tab2_16	108.1
Tab2_17	121.2
Tab2_18	94.1
Tab2_19	330.8
Tab2_20	154.1
Tab2_21	212.3
Tab2_22	163
Tab2_23	234.4
Tab2_24	169.2
Tab2_25	184.2
Tab2_26	109.1
Tab2_27	110.1
Tab2_28	228.2
Tab2_29	170.2
Tab2_30	144.2
Tab2_31	145.2
Tab2_32	164.2
Tab2_33	138.1
Tab2_34	150.2
Tab2_35	206.3
Tab2_36	178.3
Tab2_37	250.3
Tab2_38	164.2
Tab2_39	158.2
Tab2_40	164.2
Tab2_41	267.4
Tab2_42	180.2
Tab2_43	171.6
Tab2_44	246.2
Tab2_45	134.2
Tab2_46	94.1
Tab2_47	158.2
Tab2_48	94.1
Tab2_49	94.1
Tab2_50	266.3
Tab2_51	206.3
Tab2_52	364.9
Tab2_53	122.2
Tab2_54	231.9
Tab2_55	109.1
Tab2_56	212.3
Tab2_57	197.2
Tab2_58	251.9
Tab2_59	200.2
Tab2_60	197.3
Tab2_61	93.1
Tab2_62	196.5
Tab2_63	172.2
Tab2_64	138.1
Tab2_65	228.3
Tab2_66	250.3
Tab2_67	121.2
Tab2_68	266.3
Tab2_69	135.2
Tab2_70	164.2
Tab2_71	139.1
Tab2_72	240.2
Tab2_73	172.6
Tab2_74	173.6
Tab2_75	150.2
Tab2_76	150.2
Tab2_77	122.1
Tab2_78	124.1
Tab2_79	219.3
Tab2_80	217.3
Tab2_81	143.2
Tab2_82	187.2
Tab2_83	253.1
Tab2_84	188.2
Tab2_85	199.3
Tab2_86	186.2
Tab2_87	191.2
Tab2_88	127.6
Tab2_89	107.2
Tab2_90	108.1
Tab2_91	121.2
Tab2_92	162
Tab2_93	121.2
Tab2_94	122.2
Tab2_95	141.6
Tab2_96	162
Tab2_97	122.2
Tab2_98	197.4
Tab2_99	206.3
Tab2_100	168.2
Tab2_101	239.3
Tab2_102	152.1
Tab2_103	135.2
Tab2_104	138.1
