Compound Id	Indicator descriptor for SMARTS: [Nv3H2,OH1]ccc[Nv3H2,OH1]
Tab1_1	0
Tab1_2	0
Tab1_3	0
Tab1_4	0
Tab1_5	0
Tab1_6	0
Tab1_7	0
Tab1_8	0
Tab1_9	0
Tab1_10	0
Tab1_11	0
Tab1_12	0
Tab1_13	0
Tab1_14	0
Tab1_15	0
Tab1_16	0
Tab1_17	0
Tab1_18	0
Tab1_19	0
Tab1_20	0
Tab1_21	0
Tab1_22	0
Tab1_23	0
Tab1_24	0
Tab1_25	0
Tab1_26	0
Tab1_27	0
Tab1_28	0
Tab1_29	0
Tab1_30	0
Tab1_31	0
Tab1_32	0
Tab1_33	0
Tab1_34	0
Tab1_35	0
Tab1_36	0
Tab1_37	0
Tab1_38	0
Tab1_39	0
Tab1_40	0
Tab1_41	0
Tab1_42	0
Tab1_43	0
Tab1_44	0
Tab1_45	0
Tab1_46	0
Tab1_47	0
Tab1_48	1
Tab1_49	0
Tab1_50	0
Tab1_51	0
Tab1_52	1
Tab1_53	0
Tab1_54	0
Tab1_55	0
Tab1_56	0
Tab1_57	0
Tab1_58	0
Tab1_59	0
Tab1_60	0
Tab1_61	0
Tab1_62	1
Tab1_63	0
Tab1_64	0
Tab1_65	0
Tab1_66	0
Tab1_67	0
Tab1_68	0
Tab1_69	0
Tab1_70	0
Tab1_71	0
Tab1_72	0
Tab1_73	0
Tab1_74	0
Tab1_75	0
Tab1_76	0
Tab1_77	0
Tab1_78	0
Tab1_79	0
Tab1_80	0
Tab1_81	0
Tab1_82	0
Tab1_83	0
Tab1_84	0
Tab1_85	0
Tab1_86	0
Tab1_87	0
Tab1_88	0
Tab1_89	0
Tab1_90	0
Tab1_91	0
Tab1_92	0
Tab1_93	0
Tab1_94	0
Tab1_95	0
Tab1_96	0
Tab1_97	0
Tab1_98	0
Tab1_99	0
Tab1_100	0
Tab1_101	0
Tab1_102	0
Tab1_103	0
Tab1_104	0
Tab1_105	0
Tab1_106	0
Tab1_107	0
Tab1_108	0
Tab1_109	0
A	0
B	0
C	0
D	0
E	0
F	0
G	0
H	0
I	0
J	0
