"ID","Potency","Smiles"
128,0,"CC(=O)N1c2ccccc2Sc2c1ccc1ccccc21"
163,0,"Nc1ccc(/C=C\c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1"
164,0,"O=S(=O)(O)CCS(=O)(=O)O"
170,0,"CCOP(=O)(Nc1cccc(Cl)c1)OCC"
180,0,"O=C(O)c1ccccc1O"
210,0,"CC(C)(CCC(=O)O)CCC(=O)O"
256,0,"CCOP(N)(=O)c1ccccc1"
258,1,"NNP(=S)(NN)c1ccccc1"
262,0,"O=P(Nc1ccccc1)(Nc1ccccc1)Nc1ccccc1"
377,0,"O=C1C(O)=C(CCCc2ccc(Oc3ccccc3)cc2)C(=O)c2ccccc21"
416,0,"CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1"
439,0,"c1ccc2c(c1)Sc1ccccc1S2"
453,0,"CC(C)CCS(=O)(=O)O"
473,0,"Cc1ccccc1NC(=N)Nc1ccccc1C"
497,0,"CCCNP(=S)(NCCC)NCCC"
500,0,"CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC"
521,0,"O=C1OC(=O)c2c1ccc1ccccc21"
546,0,"S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1"
626,0,"Clc1ccnc2c1ccc1c(Cl)ccnc12"
671,0,"O=C(OOC(=O)c1ccccc1)c1ccccc1"
679,0,"c1ccc2nsnc2c1"
680,0,"S=C1NCCS1"
740,0,"CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1"
749,0,"Nc1nc(O)c2nn[nH]c2n1"
750,0,"CS(=O)(=O)OCCCCOS(C)(=O)=O"
752,0,"Nc1nc(S)c2nc[nH]c2n1"
755,0,"Sc1ncnc2[nH]cnc12"
757,0,"COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2"
762,0,"CN(CCCl)CCCl"
763,0,"CS(C)=O"
838,0,"c1ccn2nnnc2c1"
839,0,"c1ccn2nncc2c1"
1026,0,"NC1(C(=O)O)CCCC1"
1027,0,"CC(C)(Br)C(=O)C(Br)Br"
1088,0,"CCOC(=S)SCCSC"
1104,0,"CCOCC(C)(CO)CC(C)CO"
1112,0,"O=C(O)C1CC1"
1115,0,"O=C(O)C1(O)CC(O)C(O)C(O)C1"
1116,0,"Nc1c(Cl)cc(Cl)cc1C(=O)O"
