Compound Id, EDC estrogen receptor binding
219, 2.6
220, 2.48
221, 2.28
222, 2.24
223, 2
224, 1.82
225, 1.63
226, 1.57
227, 1.57
228, 1.48
229, 1.47
230, 1.31
231, 1.19
232, 1.18
233, 1.16
234, 1.16
235, 1.14
236, 1.14
237, 0.97
238, 1.11
239, 0.99
240, 0.86
241, 0.6
242, 0.56
243, 0.49
244, 0.42
245, 0.35
246, 0.32
247, 0.21
248, 0.14
249, -0.02
250, -0.05
251, -0.05
252, -0.14
253, -0.14
254, -0.15
255, -0.19
256, -0.29
257, -0.3
258, -0.35
259, -0.36
260, -0.55
261, -0.6
262, -0.63
263, -0.64
264, -0.67
265, -0.68
266, -0.69
267, -0.82
268, -0.82
269, -0.89
270, -0.92
271, -1.07
272, -1.16
273, -1.25
274, -1.26
275, -1.44
276, -1.44
277, -1.48
278, -1.5
279, -1.53
280, -1.55
281, -1.61
282, -1.65
283, -1.65
284, -1.73
285, -1.74
286, -1.82
287, -1.87
288, -1.89
289, -2.09
290, -2.11
291, -2.13
292, -2.18
293, -2.2
294, -2.3
295, -2.31
296, -2.35
297, -2.35
298, -2.37
299, -2.43
300, -2.45
301, -2.46
302, -2.54
303, -2.55
304, -2.61
305, -2.65
306, -2.67
307, -2.69
308, -2.74
309, -2.75
310, -2.77
311, -2.78
312, -2.78
313, -2.82
314, -2.85
315, -2.88
316, -2.89
317, -2.98
318, -3.02
319, -3.04
320, -3.05
321, -3.05
322, -3.07
323, -3.07
324, -3.35
325, -3.13
326, -3.16
327, -3.22
328, -3.22
329, -3.25
330, -3.25
331, -3.26
332, -3.37
333, -3.38
334, -3.41
335, -3.44
336, -3.44
337, -3.44
338, -3.54
339, -3.61
340, -3.61
341, -3.66
342, -3.67
343, -3.67
344, -3.73
345, -3.87
346, -4.17
347, -4.5
