Compound Id, Acute oral toxicity
1604, 2.62
1882, 3.513
1892, 1.104
1895, 1.937
1896, 1.891
1909, 2.942
1916, 1.348
1919, 1.411
1920, 1.268
1922, 2.32
1928, 1.607
1930, 2.297
1936, 1.608
1937, 1.773
1939, 1.801
1940, 1.608
1943, 2.939
1949, 2.735
1950, 2.322
1951, 1.827
1952, 3.955
1953, 1.589
1954, 1.83
1955, 1.924
1956, 1.741
1957, 2.58
1958, 2.844
1959, 1.992
1960, 2.146
1961, 2.076
1962, 1.462
1963, 2.343
1964, 3.463
1965, 4.334
1966, 1.995
1967, 2.381
1968, 0.984
1969, 4.889
1970, 2.987
1971, 2.147
1972, 2.884
1973, 2.321
1974, 4.95
1975, 5.24
1976, 5.02
1977, 5.24
1978, 4.72
1979, 4.97
1980, 4.81
1981, 1.703
