Compound Id, The mutagenicity potency in TA100 (without the S9 activation system)
469, -2.1
541, -1.29
709, 0.72
711, -0.51
757, 0.16
1250, -1.3
1547, 3.87
1548, 2.27
1549, 4.63
1550, 4.09
1551, 4.74
1552, 2.69
1553, 3
1554, 3.05
1555, 1.27
1556, 3.31
1557, 2.6
1558, 2.17
1559, 2.09
1560, 0.37
1561, 1.08
1562, 1.79
1563, 0.28
1564, 0.97
1565, -1.26
1566, -0.63
1567, -1.34
1568, -0.72
1569, 0.08
1570, 0.46
1571, 0.55
1572, 1.12
1573, 1.01
1574, 0.08
1575, -0.7
1576, 0.86
1577, 0.91
1578, 1.12
1579, 2.46
1580, 2.87
1581, 3.18
1582, -0.7
1583, -1.05
1584, -0.3
1585, -1
1586, -0.3
1587, 0.26
1588, 2.21
