CompoundId,96-h acute fish toxicity as log(1/LC50)
Tab1_1,1.09
Tab1_2,0.18
Tab1_3,-0.73
Tab1_4,0.27
Tab1_5,3.83
Tab1_6,2.64
Tab1_7,0.98
Tab1_8,2.77
Tab1_9,0.88
Tab1_10,1.3
Tab1_11,0.89
Tab1_12,1.34
Tab1_13,1.16
Tab1_14,-0.05
Tab1_15,3.21
Tab1_16,1.16
Tab1_17,0.55
Tab1_18,0.58
Tab1_19,2.34
Tab1_20,0.63
Tab1_21,1.21
Tab1_22,1.68
Tab1_23,2.91
Tab1_24,1.41
Tab1_25,3.63
Tab1_26,2.07
Tab1_27,2.3
Tab1_28,1.78
Tab1_29,1.44
Tab1_30,1.56
Tab1_31,1.76
Tab1_32,2.07
Tab1_33,3.23
Tab1_34,0.19
Tab1_35,1.76
Tab1_36,3.37
Tab1_37,1.85
Tab1_38,1.97
Tab1_39,0.91
Tab1_40,1.58
Tab1_41,0.97
Tab1_42,3.05
Tab1_43,1.94
Tab1_44,1.65
Tab1_45,2.19
Tab1_46,1.49
Tab1_47,2.96
Tab1_48,0.83
Tab1_49,2.64
Tab1_50,1.16
Tab1_51,1.04
Tab1_52,1.45
Tab1_53,1.44
Tab1_54,0.93
Tab1_55,2.11
Tab1_56,1.08
Tab1_57,3.14
Tab1_58,1.3
Tab1_59,3.42
Tab1_60,0.91
Tab1_61,2.62
Tab1_62,-0.04
Tab1_63,2.25
Tab1_64,2.75
Tab1_65,1.84
Tab1_66,1.33
Tab1_67,1.19
Tab1_68,2.66
Tab1_69,0.54
Tab1_70,1.57
Tab1_71,2
Tab1_72,0.55
Tab1_73,3.63
Tab1_74,3.4
Tab1_75,3.97
Tab1_76,1.77
Tab1_77,1.46
Tab1_78,2.17
Tab1_79,1.3
Tab1_80,3.15
Tab1_81,0.39
Tab1_82,1.78
Tab1_83,0.34
Tab1_84,2.93
Tab1_85,1.01
Tab1_86,1.2
Tab1_87,1.4
Tab1_88,1.5
Tab1_89,1.88
Tab1_90,-0.21
Tab1_91,2.5
Tab1_92,1.51
Tab1_93,1.56
Tab1_94,2.7
Tab1_95,1.16
Tab1_96,1.24
Tab1_97,-0.15
Tab1_98,1.37
Tab1_99,1.17
Tab1_100,1.11
Tab1_101,1.87
Tab1_102,1.33
Tab1_103,2.12
Tab1_104,2.48
Tab1_105,0.61
Tab1_106,1.1
Tab1_107,0.4
Tab1_108,0.47
Tab1_109,0.17
