Compound Id	walk and path count descriptor which is the ratio of multiple path count over path count
000075-63-8	1
000075-89-8	1
000076-05-1	1.051
000076-13-1	1
000076-15-3	1
000079-38-9	1.105
000079-52-7	1.03
000079-53-8	1.03
000098-08-8	1.29
000098-16-8	1.262
000098-46-4	1.301
000098-56-6	1.263
000116-14-3	1.105
000116-15-4	1.082
000124-73-2	1
000127-21-9	1.03
000151-67-7	1
000303-04-8	1.081
000306-83-2	1
000308-48-5	1
000344-07-0	1.255
000354-25-6	1
000354-33-6	1
000354-58-5	1
000359-70-6	1
000360-53-2	1.067
000360-89-4	1.081
000368-66-1	1.179
000376-53-4	1.123
000376-89-6	1.147
000382-10-5	1.03
000400-44-2	1.088
000420-46-2	1
000422-56-0	1
000422-64-0	1.037
000424-40-8	1.035
000434-64-0	1.235
000447-14-3	1.373
000507-55-1	1
000675-14-9	1.28
000678-26-2	1
000684-16-2	1.03
000692-50-2	1.162
000811-97-2	1
000920-66-1	1
006226-25-1	1.048
013838-16-9	1
026675-46-7	1
028523-86-6	1
037360-98-8	1
058109-34-5	1.067
077227-99-7	1.221
