Compound Id	MLogP_DR
000075-63-8	1.817
000075-89-8	0.58
000076-05-1	0.366
000076-13-1	2.783
000076-37-9	1.209
000079-38-9	1.881
000098-08-8	3.37
000098-16-8	2.621
000098-46-4	3.003
000098-56-6	3.948
000116-14-3	1.672
000116-15-4	2.459
000124-73-2	2.957
000127-21-9	1.795
000151-67-7	2.604
000303-04-8	3.463
000306-83-2	2.419
000308-48-5	4.751
000336-19-6	3.947
000354-06-3	2.604
000354-25-6	2.226
000354-33-6	2.026
000354-51-8	3.126
000358-21-4	2.591
000359-70-6	3.872
000360-58-7	2.599
000376-53-4	1.761
000376-89-6	1.141
000377-73-1	1.06
000378-75-6	1.553
000392-56-3	4.331
000421-06-7	2.226
000422-05-9	1.402
000422-51-5	3.291
000422-64-0	1.188
000425-38-7	1.248
000431-21-0	3.126
000460-39-9	1.009
000460-69-5	2.783
000677-21-4	1.881
000706-79-6	3.374
000753-90-2	0.58
000754-34-7	3.451
000775-40-6	3.374
000811-97-2	1.817
002378-02-1	2.434
002418-21-5	3.463
013838-16-9	1.766
017705-30-5	2.957
019041-02-2	2.604
026675-46-7	1.766
028523-86-6	2.109
029256-79-9	3.126
039660-55-4	2.591
058194-00-6	2.141
061623-04-9	3.126
000076-15-3	2.419
000079-52-7	1.964
000079-53-8	1.621
000344-07-0	4.484
000354-58-5	2.783
000360-53-2	2.289
000360-89-4	3.146
000368-66-1	3.824
000382-10-5	2.812
000400-44-2	3.146
000420-46-2	1.597
000422-56-0	3.126
000424-40-8	2.314
000434-64-0	4.926
000447-14-3	3.59
000507-55-1	3.126
000675-14-9	1.791
000678-26-2	4.203
000684-16-2	1.442
000692-50-2	2.812
000920-66-1	1.587
006226-25-1	0.836
037360-98-8	4.092
058109-34-5	1.795
077227-99-7	4.781
