Compound Id	Total solvent-accessible surface area
1	2.14
2	2.47
3	2.76
4	2.24
5	3.13
6	3.12
7	2.82
8	2.81
9	3.41
10	2.55
11	2.51
12	3.38
13	3.52
14	3.21
15	3.42
16	3.55
17	3.31
18	3.66
19	2.93
20	3.77
21	3.46
22	3.16
23	3.49
24	3.34
25	3.49
26	3.75
27	3.46
28	3.23
29	3.73
30	3.8
31	3.55
32	3.86
33	3.39
34	2.75
35	3.66
36	3.37
37	3.06
38	3.5
39	3.23
40	3.58
41	2.88
42	3.7
43	3.41
44	3.1
45	3.48
46	3.62
47	3.73
48	3.41
49	3.16
50	3.75
51	3.5
52	3.81
53	2.57
54	2.74
55	2.72
56	2.78
57	3.65
58	3.96
59	3.13
60	3.2
61	3.73
62	3.4
63	3.74
64	3.79
65	3.36
66	3.52
67	3.62
68	3.91
69	3.1
70	3.75
71	3.4
72	3.95
73	3.68
74	3.94
75	4.01
76	2.66
77	2.96
78	2.87
79	2.45
80	3.07
81	2.76
82	2.48
83	2.52
84	2.85
85	3.49
86	3.2
87	4.11
88	3.8
89	2.91
90	2.57
91	3.44
92	3.67
93	3.33
94	3.66
95	3.47
96	3.53
97	3.28
98	2.7
99	3.22
100	3.82
101	2.93
102	3.64
103	3.65
104	3.7
105	3.59
106	3.89
107	3.57
108	3.89
109	3.87
110	3.05
111	3.39
112	3.53
113	3.4
114	3.26
115	3.68
116	3.58
117	3.61
118	3.67
119	3.87
120	3.56
121	3.26
122	3.5
123	3.69
124	3.37
125	3.79
126	3.47
127	3.74
128	3.68
129	3.04
130	2.93
131	3.73
132	2.56
133	3.09
134	2.81
135	3.11
136	3.42
137	3.13
138	4.03
139	3.73
140	2.81
141	3.51
142	3.83
143	3.88
144	3.66
145	3.65
146	3.58
147	3.87
148	3.56
149	3.57
150	3.79
151	3.69
152	3.65
153	3.94
154	3.83
155	3.03
156	2.83
157	2.76
158	3.45
159	4.05
160	3.75
161	2.88
162	3.98
163	3.88
164	4.05
165	2.22
166	3.19
167	2.87
168	2.54
169	3.17
170	2.85
171	1.76
172	2.33
173	2.23
174	2.59
175	2.36
176	2.37
177	2.54
178	3.28
179	2.98
180	3.89
181	2.67
182	2.07
183	2.32
184	3.23
185	2.92
186	2.62
187	3.24
188	2.95
189	2.76
