Compound Id	Energy of the lowest unoccupeied molecular orbital
1	0.29
2	0.31
3	0.33
4	0.35
5	0.28
6	0.28
7	0.32
8	0.33
9	1.80
10	0.26
11	0.36
12	0.36
13	-0.09
14	0.24
15	0.27
16	0.13
17	0.17
18	0.09
19	0.03
20	0.05
21	0.05
22	0.00
23	-0.19
24	-0.44
25	-0.68
26	-0.59
27	-0.62
28	-0.80
29	-1.22
30	1.96
31	-2.28
32	-1.88
33	-1.84
34	-1.82
35	0.42
36	0.40
37	0.39
38	0.38
39	0.11
40	0.24
41	0.13
42	-0.26
43	-0.55
44	-1.15
45	-0.72
46	-1.12
47	-1.06
48	0.38
49	0.38
50	0.36
51	0.36
52	-0.10
53	0.06
54	-0.17
55	-0.43
57	-0.16
58	-1.02
59	-0.05
60	-1.13
61	-1.09
62	-1.41
63	-1.31
64	-1.19
65	-2.25
66	-1.84
67	-2.08
69	1.66
70	1.02
71	0.94
72	1.95
73	0.17
74	1.73
75	1.77
76	1.63
77	1.79
78	1.52
79	0.10
80	0.06
81	0.07
82	-1.01
83	-0.79
84	0.31
85	-1.14
86	-0.11
87	0.38
88	0.37
89	-0.43
90	0.39
91	-0.77
92	-0.74
93	-1.08
