Compound Id	Energy of the highest occupied molecular orbital
1	-9.17
2	-9.04
3	-8.95
4	-8.85
5	-8.90
6	-8.90
7	-9.01
8	-8.99
9	-10.98
10	-9.11
11	-8.99
12	-8.98
13	-8.87
14	-8.92
15	-9.06
16	-9.25
17	-9.11
18	-8.91
19	-9.04
20	-9.01
21	-8.95
22	-8.88
23	-9.01
24	-9.13
25	-9.19
26	-9.05
27	-9.05
28	-9.56
29	-9.90
30	-10.69
31	-10.54
32	-10.79
33	-10.43
34	-10.53
35	-8.61
36	-8.46
37	-8.50
38	-8.50
39	-9.12
40	-8.57
41	-8.66
42	-8.71
43	-8.91
44	-9.52
45	-9.18
46	-10.42
47	-9.04
48	-9.53
49	-9.09
50	-9.50
51	-9.53
52	-9.18
53	-9.39
54	-9.29
55	-9.23
57	-9.16
58	-9.37
59	-9.81
60	-10.60
61	-10.27
62	-10.85
63	-10.06
64	-9.99
65	-11.31
66	-11.18
67	-10.63
69	-10.26
70	-9.89
71	-10.50
72	-10.73
73	-9.76
74	-10.66
75	-10.80
76	-10.21
77	-10.86
78	-10.21
79	-8.59
80	-8.78
81	-8.74
82	-9.42
83	-9.14
84	-9.02
85	-9.63
86	-8.67
87	-8.51
88	-8.51
89	-9.04
90	-8.70
91	-9.25
92	-9.25
93	-10.17
