Compound Id	2-day Tetrahymena toxicity as log(1/IGC50)
1	-1.96
2	-1.82
3	-1.54
4	-1.50
5	-1.54
6	-1.32
7	-0.66
8	-1.50
9	-1.23
10	-0.77
11	-0.87
12	-0.91
13	-0.71
14	-0.82
15	-0.78
16	-0.80
17	-0.43
18	-0.71
19	-0.65
20	-0.84
21	-0.70
22	-0.47
23	-1.44
24	-0.50
25	-0.02
26	0.18
27	0.20
28	0.00
29	-0.11
30	0.12
31	0.37
32	0.42
33	0.88
34	1.04
35	0.94
36	NTAS
37	1.35
38	1.08
39	1.41
40	NTAS
41	1.49
42	1.87
43	1.81
44	3.04
45	2.24
46	-0.74
47	-1.75
48	-1.03
49	-0.93
50	-0.96
51	-0.79
52	-0.70
53	-0.66
54	-0.56
55	-1.07
56	-1.40
57	-1.01
58	-0.87
59	-1.49
60	-0.46
61	-0.98
62	-0.89
63	-0.69
64	-0.36
65	-1.42
66	-0.49
67	0.77
68	0.82
69	0.49
70	0.46
71	0.62
72	1.16
73	-0.04
74	0.52
75	1.43
76	1.41
77	0.85
78	0.62
79	1.58
80	1.34
81	0.22
82	0.57
83	1.11
84	1.01
85	0.63
86	3.09
87	2.57
88	NTAS
89	NTAS
90	-0.66
91	-1.45
92	-0.92
93	NTAS
94	0.43
95	0.51
96	1.44
97	NTAS
98	NTAS
99	0.25
100	2.67
