Compound Id	Mutagenicity for strain TA100
1	2.34
2	-0.37
3	0.36
4	-1
5	-0.25
6	-0.04
7	1.79
8	1.05
9	-100
10	-0.26
11	-100
12	-2.52
13	-0.23
14	-100
15	-1.12
16	0.84
17	1.09
18	-2
19	-1.68
20	2.76
21	-0.51
22	-0.56
23	2.87
24	0.78
25	0.39
26	2.74
27	2.58
28	0.08
29	0.46
30	0.38
31	-100
32	0.66
33	-0.85
34	0.65
35	0.09
36	-100
37	-0.11
38	2.25
39	0.1
40	2.66
41	0.07
42	-1.51
43	-0.55
44	-1.16
45	-100
46	-0.15
47	0.54
48	1.12
49	0.85
50	-0.47
51	0.64
52	-0.11
53	-0.27
54	0.48
55	2.69
56	-100
57	-1.44
58	-0.14
59	-0.61
60	-2.1
61	-100
62	-0.4
63	0.63
64	0.14
65	2.41
66	-1.22
67	2.76
68	1.98
69	-0.34
70	-0.24
71	2.79
72	-0.66
73	-100
74	-100
75	-100
76	-100
77	-100
78	-100
79	-100
80	-100
81	-100
82	-100
83	-100
84	-100
85	-100
86	-100
87	-100
88	-100
89	-100
90	-100
91	-100
92	-100
93	-100
94	-100
95	-100
96	-100
97	-100
98	-100
99	-100
100	-100
101	-100
102	-100
103	-100
104	-100
105	-100
106	-100
107	-100
108	-100
109	-100
110	-100
111	-100
