Compound Id	minus logarithm of the oral dose of PFCs resulting in the death of 50% of experimental mice population
000098-08-8	1.17
000098-16-8	2.87
000098-56-6	1.2
000121-17-5	2.75
000335-76-2	3.67
000337-28-0	2.21
000350-57-2	1.73
000360-53-2	2.3
000360-54-3	2.85
000360-58-7	3.14
000376-53-4	2.11
000376-89-6	2.32
000378-75-6	1.41
000382-93-4	1.2
000422-05-9	2.18
000422-63-9	2.44
000424-40-8	1.85
000431-46-9	2.37
000559-11-5	4.38
000706-79-6	2.95
000920-66-1	2.45
001547-36-0	2.15
001835-49-0	3.55
001929-68-6	3.73
002368-64-1	2.74
002946-73-8	2.49
013838-16-9	1.39
015700-73-9	2.82
020404-94-8	2.51
023384-22-7	3.48
023757-42-8	3.13
024095-80-5	3.07
026675-46-7	1.38
026799-34-8	2.93
028462-90-0	2.38
028523-86-6	1.04
030184-88-4	3.18
030184-89-5	2.88
031185-53-2	2.6
031185-59-8	2.08
031185-61-2	2.06
031185-65-6	2.19
031185-66-7	2.21
031185-67-8	2.27
031185-68-9	2.29
031185-69-0	2.62
031224-45-0	2.24
042818-60-0	2.34
056973-16-1	2.31
061988-37-2	2.32
063979-48-6	2.18
067205-67-8	2.98
067319-83-9	2.39
101834-51-9	3.2
105923-30-6	3.96
105923-79-3	4.64
107349-85-9	4.72
107350-42-5	3.14
