Compound Id	Inverse logarithm of the oral dose of PFCs resulting in the death of 50% of experimental rat population
000075-89-8	2.62
000076-21-1	2.735
000121-17-5	2.322
000127-21-9	3.513
000311-89-7	1.827
000335-76-2	3.955
000344-07-0	1.607
000350-57-2	1.589
000355-42-0	1.83
000358-21-4	1.104
000360-53-2	2.297
000363-72-4	1.924
000375-01-9	1.741
000375-34-8	2.58
000375-73-5	2.844
000376-18-1	1.992
000376-53-4	1.937
000376-72-7	2.146
000376-89-6	1.891
000376-90-9	2.076
000422-56-0	1.608
000424-40-8	1.773
000425-87-6	1.462
000440-60-8	2.343
000447-14-3	1.801
000507-55-1	1.608
000684-16-2	2.939
000706-79-6	2.942
000754-91-6	3.463
000756-91-2	4.334
001478-61-1	1.995
001546-95-8	2.381
001599-41-3	0.984
002355-43-3	4.889
004151-50-2	2.987
013838-16-9	1.348
023152-45-6	2.147
024095-80-5	2.884
026675-46-7	1.411
028523-86-6	1.268
039660-55-4	2.32
061988-37-2	2.321
089426-93-7	4.95
089427-09-8	5.24
089427-15-6	5.02
089427-27-0	5.24
089427-28-1	4.72
089427-30-5	4.97
089427-31-6	4.81
138495-42-8	1.703
