Compound Id	48-h Honey bee toxicity as -log(LD50)
S1	2.188
S2	2.773
S3	2.830
S4	3.239
S5	2.881
S6	2.717
S7	3.409
S8	3.141
S9	3.158
S10	3.789
S11	3.776
S12	2.918
S13	2.649
S14	3.290
S15	3.126
S16	1.273
S17	1.639
S18	2.898
S19	3.038
S20	4.194
S21	2.967
S22	2.959
S23	1.877
S24	1.199
S25	3.044
S26	3.221
S27	2.019
S28	3.369
S29	2.991
S30	3.006
S31	2.902
S32	2.669
S33	3.228
S34	3.023
S35	1.930
S36	3.162
S37	2.312
S38	3.597
S39	2.190
S40	1.105
S41	3.244
S42	2.479
S43	2.429
S44	2.058
S45	0.637
