Compound Id	Moran autocorrelation of lag 1 weighted by van der Waals volume
000061-82-5	-0.75
000086-50-0	-0.131
000095-14-7	0.5
000134-58-7	-0.271
024017-47-8	-0.435
041083-11-8	-0.153
041814-78-2	0.108
042509-80-8	-0.517
043121-43-3	-0.098
055179-31-2	-0.037
055219-65-3	-0.098
060207-31-0	-0.169
060207-90-1	-0.125
060207-93-4	-0.138
075736-33-3	0.036
076674-21-0	-0.023
079983-71-4	0.028
082200-72-4	-0.098
083657-22-1	0.028
083657-24-3	0.036
086598-92-7	0.09
088671-89-0	0.071
089482-17-7	-0.098
094361-06-5	0.038
107534-96-3	0.036
112143-82-5	-0.236
112281-77-3	-0.118
114369-43-6	0.108
116255-48-2	0.017
119446-68-3	-0.138
122836-35-5	-0.205
125116-23-6	0.05
125225-28-7	0.056
125306-83-4	-0.178
128639-02-1	-0.142
129586-32-9	0.038
131983-72-7	0.05
139528-85-1	-0.299
000273-02-9	0.5
000288-36-8	0.167
000288-88-0	-0.667
000938-56-7	0.149
001123-54-2	-0.242
001455-77-2	-0.8
001680-44-0	0.528
002338-12-7	0.492
002440-22-4	0.221
002683-90-1	-0.245
003357-42-4	0.108
004368-68-7	0.436
006085-94-5	0.026
007411-23-6	0.129
013351-73-0	0.385
016584-05-7	0.413
026621-45-4	-0.179
028911-01-5	0.059
028981-97-7	0.051
036791-04-5	-0.278
057801-81-7	0.084
059338-93-1	-0.058
069141-50-0	-0.05
077314-77-3	-0.219
104958-85-2	-0.17
