Compound Id	Geary autocorrelation of lag 3 weighted by mass
000061-82-5	0.937
000086-50-0	1.045
000095-14-7	1.333
000134-58-7	1.366
024017-47-8	1.461
041083-11-8	2.341
041814-78-2	1.358
042509-80-8	1.466
043121-43-3	0.83
055179-31-2	1.253
055219-65-3	0.83
060207-31-0	0.996
060207-90-1	0.964
060207-93-4	0.956
075736-33-3	0.971
076674-21-0	1.018
079983-71-4	0.99
082200-72-4	0.83
083657-22-1	0.801
083657-24-3	0.971
086598-92-7	1.186
088671-89-0	0.744
089482-17-7	0.83
094361-06-5	0.718
107534-96-3	0.778
112143-82-5	1.563
112281-77-3	0.991
114369-43-6	0.73
116255-48-2	0.759
119446-68-3	0.943
122836-35-5	1.033
125116-23-6	0.703
125225-28-7	0.724
125306-83-4	1.751
128639-02-1	0.968
129586-32-9	0.638
131983-72-7	0.703
139528-85-1	1.187
000273-02-9	1.333
000288-36-8	0
000288-88-0	0
000938-56-7	0.673
001123-54-2	1.094
001455-77-2	1.05
001680-44-0	0.833
002338-12-7	1.321
002440-22-4	1.216
002683-90-1	1.28
003357-42-4	1.042
004368-68-7	0.889
006085-94-5	0.889
007411-23-6	2.111
013351-73-0	1.25
016584-05-7	1.31
026621-45-4	0.612
028911-01-5	0.726
028981-97-7	0.576
036791-04-5	0.744
057801-81-7	0.645
059338-93-1	1.196
069141-50-0	1.561
077314-77-3	1.08
104958-85-2	0.583
