Compound Id	Energy of the highest occupied molecularorbital
1	-9.514
2	-9.219
3	-9.379
4	-9.073
5	-9.419
6	-9.5
7	-9.275
8	-9.442
9	-9.312
10	-9.258
11	-9.446
12	-9.132
13	-9.765
14	-9.374
15	-9.376
16	-9.44
17	-9.465
18	-13.672
19	-12.017
20	-11.554
21	-11.641
22	-11.411
23	-11.502
24	-11.363
25	-11.284
26	-11.348
27	-11.344
28	-11.344
29	-11.145
30	-11.307
31	-11.152
32	-11.341
33	-11.105
34	-11.396
35	-11.119
36	-11.094
37	-11.32
38	-11.157
39	-11.698
40	-10.984
41	-11.1
42	-11.346
43	-11.102
44	-11.179
45	-11.1
46	-11.1
47	-11.101
48	-10.98
49	-11.24
50	-11.074
51	-11.02
52	-11.084
53	-11.28
54	-11.078
55	-11.076
