Compound Id	R maximal autocorrelation of lag1/unweighted
95-15-8	0.157
110-06-5	0.106
107-47-1	0.128
544-40-1	0.112
75-15-0	0
592-88-1	0.13
7133-46-2	0.102
544-02-5	0.114
75-18-3	0.183
16587-40-9	0.189
1207-12-1	0.167
638-02-8	0.184
20333-39-5	0.187
3698-94-0	0.112
30453-31-7	0.15
4110-50-3	0.152
1551-32-2	0.154
872-55-9	0.203
1195-14-8	0.234
7372-88-5	0.225
1551-21-9	0.176
1741-83-9	0.141
100-68-5	0.238
1795-09-1	0.165
2084-19-7	0.194
16587-32-9	0.142
1551-27-5	0.173
4565-32-6	0.201
109-79-5	0.184
143-10-2	0.092
112-55-0	0.081
75-08-1	0.264
1639-09-4	0.116
111-31-9	0.133
74-93-1	0.35
1455-21-6	0.101
25360-10-5	0.166
111-88-6	0.105
110-66-7	0.147
107-03-9	0.207
5332-52-5	0.088
67-68-5	0.19
625-60-5	0.174
60-24-2	0.238
3268-49-3	0.171
100-53-8	0.176
513-53-1	0.205
75-66-1	0.239
1569-69-3	0.197
25103-58-6	0.114
540-63-6	0.204
513-44-0	0.192
75-33-2	0.252
141-59-3	0.129
108-98-5	0.187
598-04-9	0.098
2150-02-9	0.132
110-77-0	0.167
107-96-0	0.232
872-93-5	0.126
598-03-8	0.118
126-33-0	0.129
111-48-8	0.154
68-11-1	0.308
132-65-0	0.115
110-81-6	0.152
352-93-2	0.17
624-92-0	0.195
882-33-7	0.107
14290-92-7	0.148
55735-23-4	0.175
6163-64-0	0.175
624-89-5	0.175
13286-92-5	0.175
628-29-5	0.15
3877-15-4	0.165
554-14-3	0.229
616-44-4	0.226
629-19-6	0.115
111-47-7	0.123
110-01-0	0.174
420-12-2	0.18
110-02-1	0.187
287-27-4	0.18
2690-08-6	0.067
