Compound Id	Antiviral binding affinity equilibrium constant as p(Ki)
1	7.68
2	7.66
3	7.52
4	7.22
5	7.15
6	7.03
7	7
8	6.72
9	6.01
10	5.82
11	7
12	6.95
13	6.96
14	6.81
15	6.78
16	6.52
17	6.17
18	6.17
19	6.96
20	6.65
21	6.32
22	6.09
23	5.72
24	5.59
25	5.39
26	6.87
27	6.67
28	6.31
29	6.22
30	6.22
31	5.96
32	5.92
33	5.85
34	5.83
35	5.73
36	5.05
37	4.92
38	4.26
39	3.94
40	8.44
41	7.35
42	7.34
43	7.25
44	7.21
45	7.15
46	7.06
47	7.04
48	7.03
49	6.63
50	6.36
51	6.26
52	5.65
53	5.62
54	4.82
55	4.72
56	4.66
57	7.79
58	7.69
59	7.47
60	7.43
61	7.33
62	5.77
63	4.28
64	7.64
65	7.29
66	6.73
67	6.3
68	6.5
69	5.75
70	7.6
71	7.15
