Compound Id	Skin sensitization potency in the local lymph node assay (LLNA) as log(1/EC3)
1	0.97
2	1.62
3	0.83
4	1.39
5	0.78
6	1.09
7	1.02
8	1.33
9	1.06
10	0.17
11	1.55
12	0.79
13	2.3
14	0.8
15	0.35
16	1.63
Table1-4	1.27
Table1-11	1.27
Table3-1	N/A
Table3-2	N/A
Table3-3	N/A
Table3-4	N/A
Table4-1	0.78
Table4-2	1.3
Table4-3	N/A
Table4-4	1.36
Table4-5	1.17
Table4-6	0.84
Table4-7	1.43
Table4-8	1.03
Table4-9	N/A
Table5-1	N/A
Table5-2	0.88
Table5-3	N/A
Table5-4	N/A
Table5-5	1.25
Table5-6	1.03
Table6-1	1.69
Table6-2	3.00
Table7-1	2.40
Table7-2	2.67
