Compound Id	nArOR
1	0
2	0
3	1
4	1
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	1
13	0
14	1
15	0
16	0
17	0
18	0
19	1
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	1
28	0
29	1
30	1
31	0
32	1
33	0
34	1
35	2
36	0
37	0
38	0
39	0
40	1
41	1
42	0
43	0
44	2
45	0
46	0
47	0
48	0
49	1
50	1
51	2
52	0
53	0
54	0
55	2
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	1
64	1
65	1
67	0
68	0
69	0
70	0
72	0
73	0
74	1
75	0
76	0
77	0
78	0
79	1
80	1
81	2
82	0
83	0
84	0
85	0
86	0
87	0
88	1
89	0
90	0
92	2
93	1
94	0
95	1
96	0
97	0
98	0
99	1
100	0
101	1
102	0
103	0
104	1
105	1
106	0
107	0
108	1
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	1
119	0
120	1
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	1
129	0
131	0
132	0
K1	0
K2	0
K3	0
K4	0
K5	0
K6	0
K7	0
K8	0
K9	0
K10	0
K11	0
K12	0
K13	0
K14	0
K15	0
K16	0
K17	0
K18	0
K19	0
K20	0
K21	0
K22	1
K23	0
