Compound Id	number of donor atoms for H bonds
1	0
2	0
3	0
4	2
5	0
6	0
7	0
8	0
9	0
10	0
11	2
12	0
13	2
14	2
15	0
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	0
24	0
25	0
26	2
27	1
28	1
29	1
30	0
31	0
32	0
33	0
34	0
35	2
36	0
37	0
38	0
39	1
40	1
41	0
42	1
43	0
44	0
45	0
46	1
47	1
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	2
58	1
59	0
60	1
61	2
62	1
63	0
64	0
65	0
66	2
67	0
68	4
69	1
70	1
71	0
72	0
73	1
74	0
75	2
76	2
77	0
78	0
79	0
80	1
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	1
89	0
90	0
91	1
92	0
93	0
94	0
95	1
96	1
97	0
98	0
99	2
100	0
101	0
102	0
103	0
104	0
105	1
106	2
107	0
108	0
109	0
110	1
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	2
123	1
124	0
125	1
126	0
127	0
128	0
129	0
130	2
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	1
142	3
143	0
144	0
145	0
146	0
147	1
148	0
149	0
150	1
151	0
152	1
153	0
154	1
155	1
156	0
157	0
158	2
159	0
160	1
161	0
162	0
163	0
164	2
165	1
166	0
167	0
168	0
169	0
170	0
171	1
172	0
173	0
174	0
175	0
176	2
177	0
178	3
179	0
180	0
181	1
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	1
192	1
193	0
194	0
195	0
196	0
197	1
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	1
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	1
217	0
218	0
219	0
220	2
221	1
222	0
223	0
224	0
225	0
226	1
227	0
228	0
229	0
230	0
231	1
232	0
233	2
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
