Compound Id	Energy of the lowest unoccupied molecular orbital
1	1.0000
2	0.9800
3	0.9600
4	1.0000
5	0.9700
6	1.0100
7	0.9600
8	1.0200
9	0.9500
10	0.9400
11	0.9700
12	0.9600
13	0.9600
14	0.9600
15	0.9800
16	0.9700
17	0.9400
18	0.9700
19	0.8100
20	0.8100
21	0.6000
22	0.9069
23	0.8757
24	0.1296
25	0.7474
26	0.8548
27	0.7951
28	-0.1600
29	0.9200
30	-0.1900
31	0.6500
32	-0.1900
33	-0.2000
34	-0.1700
35	0.1200
36	0.0600
37	0.1200
38	-0.1700
39	0.8000
40	3.6788
41	3.6253
42	3.7887
43	3.7272
44	4.1796
45	4.5366
