Compound Id	The ratio of brain?blood partitioning as logBB
Tab1_1	-1.42
Tab1_2	-0.04
Tab1_3	-2
Tab1_4	-1.3
Tab1_5	-1.06
Tab1_6	0.11
Tab1_7	0.49
Tab1_8	0.83
Tab1_9	-1.23
Tab1_10	-0.82
Tab1_11	-1.17
Tab1_12	-2.15
Tab1_13	-0.67
Tab1_14	-0.66
Tab1_15	-0.12
Tab1_16	-0.18
Tab1_17	-1.15
Tab1_18	-1.57
Tab1_19	-1.54
Tab1_20	-1.12
Tab1_21	-0.73
Tab1_22	-0.27
Tab1_23	-0.28
Tab1_24	-0.46
Tab1_25	-0.24
Tab1_26	-0.02
Tab1_27	0.69
Tab1_28	0.44
Tab1_29	0.14
Tab1_30	0.22
Tab1_31	-0.08
Tab1_32	0.37
Tab1_33	1.01
Tab1_34	0.9
Tab1_35	-0.15
Tab1_36	-0.17
Tab1_37	0.97
Tab1_38	1.04
Tab1_39	0.08
Tab1_40	0.4
Tab1_41	0
Tab1_42	0.24
Tab1_43	-0.16
Tab1_44	0.13
Tab1_45	0.35
Tab1_46	0.81
Tab1_47	0.8
Tab1_48	0.42
Tab1_49	0.04
Tab1_50	0.93
Tab1_51	0.03
Tab1_52	0.76
Tab1_53	-0.16
Tab1_54	-0.15
Tab1_55	0.27
Tab1_56	0.37
Tab1_57	0.34
Tab2_1	-0.3
Tab2_2	-0.06
Tab2_3	-0.42
Tab2_4	-1.3
Tab2_5	-1.4
Tab2_6	-0.43
Tab2_7	0.25
Tab3_1	0
Tab3_2	-0.34
Tab3_3	-0.3
Tab3_4	-1.34
Tab3_5	-1.82
Tab3_6	0.76
