Compound Id	Rate of reaction with the NO3 radical as -log kNO3
1	15.25
2	14.7
3	13.8
4	15.89
5	14.85
6	16.52
7	16.52
8	18
9	17
10	15.69
11	16.29
12	16.51
13	12
14	16.15
15	15.76
16	15.37
17	14.57
18	11.92
19	17.3
20	12
21	15.97
22	14.91
23	15.52
24	15.79
25	12.15
26	13.96
27	14.68
28	15.22
29	15.55
30	15.36
31	12.18
32	11.21
33	10.72
34	11.39
35	15.42
36	14.74
37	15.66
38	13.57
39	13.35
40	10.14
41	10.54
42	9.85
43	15
44	15.22
45	11.82
46	14.62
47	15.68
48	16.46
49	15.34
50	16.34
51	13.87
52	13
53	15.34
54	14.96
55	15.27
56	17.52
57	15.74
58	15.82
59	15.63
60	15.06
61	16.18
62	16.3
63	16.06
64	13.82
65	16.7
66	10.34
67	14.31
68	11.84
69	13.41
70	15.96
71	13.82
72	16.27
73	15.85
74	12.29
75	15.82
76	15.72
77	13.72
78	15.64
79	13.66
80	14.02
81	14.52
82	12.46
83	14.07
84	12
85	15.7
86	13.57
87	10.96
88	14.19
89	13.96
90	14.29
91	13.77
92	15.55
93	13.7
94	11.6
95	16.85
96	12.38
97	15.82
98	15.86
99	15.97
100	9.41
101	11.38
102	15.62
103	11.09
104	12.17
105	15.22
106	14.14
107	12.6
108	13.17
109	15.22
110	11.03
111	11.85
112	14.72
113	16.05
114	11.92
115	16.48
116	10.72
117	11.1
118	10.24
119	10.01
120	12.45
121	13.72
122	11
123	13.74
124	10.94
125	13.7
126	16.3
127	15.36
128	15.21
129	12.41
130	15.12
131	12.18
132	12.29
133	13.62
134	14.8
135	12.34
136	12.84
137	13.77
138	12.38
139	11.41
140	12.27
141	11.82
142	11.85
143	10.29
144	11.8
145	12
146	13.7
147	13.74
148	10.66
149	11
150	10.66
151	10.8
152	11.19
153	11.09
154	10.8
155	10.91
156	13.83
157	10.41
158	11.04
159	10.66
160	13.62
161	14.7
162	11.85
163	11.24
164	10.81
165	13.6
166	12.59
