1	Acetaminophen	103-90-2	c1cc(O)ccc1NC(=O)C
2	Acebutolol	37517-30-9	c1c(ccc(OCC(O)NC(C)C)c1C(=O)C)NC(=O)CCC
3	Acetohexamide	968-81-0	N(C(=O)NC1CCCCC1)S(=O)(=O)c2ccc(cc2)C(=O)C
5	Acrivastine	87848-99-5	c1cc(C=CC(=O)O)nc(c1)C(=CCN2CCCC2)c3ccc(C)cc3
6	Acyclovir	59277-89-3	N1C(N)=NC2=C(C1=O)N=CN2COCCO
8	Allopurinol	315-30-0	n1cnc2NN=Cc2c1O
11	Amiloride	2609-46-3	c1(N)nc(N)c(nc1Cl)C(=O)NC(=N)N
12	Amino-5-nitrothiazole	121-66-4	ON(=O)C1=CN=C(N)S1
14	Amlodipine	88150-42-9	C1(C(=O)OCC)=C(OCCN)NC(C)=C(C1c2ccccc2Cl)C(=O)OC
15	Amphetamine	300-62-9	CC(N)Cc1ccccc1
16	Ampicillin	69-53-4	c1cccc(c1)C(N)C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O
17	Amrinone	60719-84-8	c1cnccc1C2=CNC(=O)C(N)=C2
18	Astemizole	68844-77-9	C1(C(=O)OCC)=C(OCCN)NC(C)=C(C1c2ccccc2Cl)C(=O)OC
19	Atenolol	29122-68-7	c1cccc(c1OCC(O)CNC(C)C)C(=O)CN
20	Auranofin	34031-32-8	C1(OC(=O)C)C(COC(=O)C)OC(S[Au]P(CC)(CC)CC)C(C1OC(=O)C)OC(=O)C
24	Benazepril	86541-75-5	c1ccc2c(c1)CCC(NC(CCc3ccccc3)C(=O)OCC)C(=O)N2CC(=O)O
25	Bepridil	64706-54-3	c1ccccc1C(Nc2ccccc2)C(COCC(C)C)N3CCCC3
26	Betaxolol	63659-18-7	c1cc(ccc1OCC(O)CNC(C)C)CCOCC2CC2
28	Bisoprolol	66722-44-9	c1cc(CCOCCOC(C)C)ccc1OCC(O)CNC(C)C
29	Bitolterol	30392-40-6	c1cc(OC(=O)c2ccc(C)cc2)c(cc1C(O)CNC(C)(C)C)OC(=O)c3ccc(C)cc3
30	Brotizolam	57801-81-7	C12=C(C=C(S1)Br)C(=NCC3=NN=C(C)N23)c4ccccc4Cl
31	Budesonide	51333-22-3	C12(OC(CCC)OC1CC3C2(C)CC(O)C4C3CCC5=CC(=O)C=CC45C)C(=O)CO
32	Bunolol	27591-01-1	c1ccc(OC(O)CNC(C)(C)C)c2c1CCCC2=O
33	Bupropion	31677-93-7	c1ccc(cc1Cl)C(=O)C(C)NC(C)(C)C
34	Buspirone	36505-84-7	c1cnc(nc1)N2CCN(CCCN3C(=O)CC4(CCCC4)CC3=O)CC2
36	Captopril	62571-86-2	C1CCC(N1C(=O)C(C)S)C(=O)O
37	Carbromal	77-65-6	C(Br)(CC)(CC)C(=O)NC(N)=O
38	Carteolol	51781-06-7	N1C(=O)CCc2c1cccc2OCC(O)CNC(C)C
40	Cetirizine	83881-51-0	c1ccc(cc1)C(c2ccc(Cl)cc2)N3CCN(CCOCC(=O)O)CC3
41	Chlordiazepoxide	58-25-3	Clc1ccc2N=C(NC)CN(O)=C(c3ccccc3)c2c1
42	Chlorpheniramine	132-22-9	c1cccc(n1)C(CCN(C)C)c2ccc(Cl)cc2
43	Chlorpromazine	50-53-3	c1c(Cl)ccc2Sc3ccccc3N(CCCN(C)C)c12
44	Chlorpropamide	94-20-2	S(=O)(=O)(NC(=O)NCCC)c1ccc(Cl)cc1
46	Ciprofloxacin	85721-33-1	C1=C(C(=O)O)C(=O)c2cc(F)c(cc2N1C3CC3)N4CCNCC4
47	Cisapride	81098-60-4	c1cc(F)ccc1OCCCN2CCC(CC2)NC(=O)c3cc(Cl)c(N)cc3OC
48	Clemastine	15686-51-8	C1(CCCN1C)CCOC(C)(c2ccccc2)c3ccc(Cl)cc3
51	Clozapine	5786-21-0	c1cc2Nc3ccccc3C(=Nc2cc1Cl)N4CCN(C)CC4
52	Codeine	76-57-3	c12c3ccc(OC)c1OC4C(O)C=CC5C(C3)N(C)CCC245
53	Coumarin	91-64-5	c1ccc2C=CC(=O)Oc2c1
54	Cyclobenzaprine	303-53-7	c1ccc2C=Cc3ccccc3C(=CCCN(C)C)c2c1
55	Cyclosporine	79217-60-0	CC(C)CC1N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)N(C)C(=O)CN(C)C(=O)C(CC)NC(=O)C(C(O)C(C)CC=CC)N(C)C(=O)C(C(C)C)N(C)C1=O)C(C)C
56	Dacarbazine	4342-03-4	C(=O)(N)C1=C(NC=N1)N=NN(C)C
57	Dantrolene	7261-97-4	ON(=O)c1ccc(cc1)CC2=CC=C(C=NN3CC(=O)NC3=O)O2
58	Dapsone	80-08-0	S(=O)(=O)(c1ccc(N)cc1)c2ccc(N)cc2
59	Desogen	54024-22-5	OC1(C#C)CCC2C3CCC4=CCCCC4C3C(=C)CC12CC
60	Dexfenfluramine	3239-44-9	c1cc(ccc1C(F)(F)F)CC(C)NCC
61	Diazepam	439-14-5	Clc1ccc2NC(C)C(=O)N=C(c3ccccc3)c2c1
62	Diclofenac	15307-86-5	c1(Cl)cccc(Cl)c1Nc2ccccc2CC(=O)O
63	Didanosine	69655-05-6	n1cnc2c(c1O)N=CN2C3CCC(CO)O3
64	Diflunisal	22494-42-4	c1c(F)cc(F)cc1c2ccc(O)c(c2)C(=O)O
65	Diltiazem	42399-41-7	C1(OC(=O)C)C(=O)N(CCN(C)C)c2ccccc2SC1c3ccc(OC)cc3
66	Diphenhydramine	58-73-1	O(CCN(C)C)C(c1ccccc1)c2ccccc2
67	Dipyridamole	58-32-2	c1(nc(nc2c1nc(nc2N3CCCCC3)N(CCO)CCO)N(CCO)CCO)N4CCCCC4
70	Doxazosin	74191-85-8	c1(N)nc(nc2c1cc(OC)c(OC)c2)N3CCN(CC3)C(=O)C4COc5ccccc5O4
71	Doxylamine	469-21-6	c1cccc(c1)C(OCCN(C)C)c2ncccc2
72	Dronabinol	1972-08-3	C1(C)=CC2C(CC1)C(C)(C)Oc3cc(CCCCC)cc(O)c23
