#########################################################################
# Joseph F. Contrera, Abigail C. Jacobs, and Joseph J. DeGeorge:        #
# Carcinogenicity Testing and the Evaluation of Regulatory Requirements #
# for Pharmaceuticals, Regulatory Toxicology and Pharmacology 25,       #
# 130-145 (1997)                                                        #
#                                                                       #
# Pharmaceuticals with Rat and Mouse Carcinogenicity Studies            #
#########################################################################

ID	Name	MR	FR	MM	FM
1	Acetaminophen	-	-	+	+
2	Acebutolol	-	-	-	-
3	Acetohexamide	-	-	-	-
4	149	+	+	+	+
5	Acrivastine	-	-	-	-
6	Acyclovir	-	-	-	-
7	298	+	-	-	-
8	Allopurinol	-	-	-	-
9	196	+	-	+	-
10	308	-	-	-	-
11	Amiloride	-	-	-	-
12	Amino-5-nitrothiazole	+	-	-	-
13	439	-	-	-	-
14	Amlodipine	-	-	-	-
15	Amphetamine	-	-	-	-
16	Ampicillin	-	-	-	-
17	Amrinone	-	-	-	-
18	Astemizole	-	-	-	-
19	Atenolol	+	+	-	-
20	Auranofin	+	+	-	-
21	140	-	-	-	-
22	219	-	-	-	-
23	202	+	-	-	-
24	Benazepril	-	-	-	-
25	Bepridil	+	+	-	-
26	Betaxolol	-	-	-	-
27	236	-	-	-	-
28	Bisoprolol	-	-	-	-
29	Bitolterol	-	-	-	-
30	Brotizolam	+	+	-	-
31	Budesonide	+	-	-	-
32	Bunolol	+	-	-	+
33	Bupropion	-	-	-	-
34	Buspirone	-	-	-	-
35	336	+	-	-	-
36	Captopril	-	-	-	-
37	Carbromal	-	-	-	-
38	Carteolol	-	-	-	-
39	176	-	-	-	-
40	Cetirizine	-	-	-	-
41	Chlordiazepoxide	-	-	+	+
42	Chlorpheniramine	-	-	-	-
43	Chlorpromazine	+	-	-	-
44	Chlorpropamide	-	-	-	-
45	189	+	+	-	-
46	Ciprofloxacin	-	-	-	-
47	Cisapride	-	-	-	-
48	Clemastine	-	-	-	-
49	132	+	-	+	-
50	331	-	-	-	-
51	Clozapine	-	-	-	-
52	Codeine	-	-	-	-
53	Coumarin	+	-	+	+
54	Cyclobenzaprine	-	-	-	-
55	Cyclosporine	-	-	+	+
56	Dacarbazine	+	+	+	+
57	Dantrolene	-	-	-	-
58	Dapsone	+	+	-	-
59	Desogen	+	+	+	+
60	Dexfenfluramine	-	-	-	-
61	Diazepam	-	-	+	+
62	Diclofenac	-	-	-	-
63	Didanosine	-	-	-	-
64	Diflunisal	-	-	-	-
65	Diltiazem	-	+	-	-
66	Diphenhydramine	-	-	-	-
67	Dipyridamole	-	-	-	-
68	239	+	+	+	+
69	301	-	-	-	-
70	Doxazosin	-	-	-	-
71	Doxylamine	+	-	+	+
72	Dronabinol	-	-	-	-
73	Enalapril	-	-	-	-
74	Ephedrine	-	-	-	-
75	Erythromycin	-	-	-	-
76	Estazolam	-	-	-	-
77	Estradiol mustard	-	-	+	+
78	Etchlorvynol	-	-	-	-
79	Ethionamide	-	-	-	-
80	Etodolac	-	-	-	-
81	Etretinate	-	-	+	-
82	Eugenol	-	-	-	-
83	Famciclovir	-	+	-	-
84	Famotidine	-	-	-	-
85	Felbamate	+	-	-	-
86	12	-	-	-	-
87	201	+	+	+	+
88	Finasteride	+	-	+	-
89	Flecainide	-	-	-	-
90	184	+	-	-	-
91	Fluconazole	+	-	-	-
92	Flunisolide	-	+	+	+
93	229	+	-	-	-
94	Fluoxetine	-	-	-	-
95	Flurazepam	-	-	-	-
96	Flurbiprofen	-	-	-	-
97	Fluvastatin	+	-	-	-
98	Foscarnet	-	-	-	-
99	Fosinopril	+	+	-	-
100	Furazolidone	-	+	+	+
101	Furosemide	-	-	-	+
102	Gabapentin	+	-	-	-
103	Gemfibrozil	+	-	-	-
104	29	+	+	+	+
105	Glipizide	-	-	-	-
106	Glyburide	-	-	-	-
107	Granisetron	+	+	+	-
108	Guanadrel	+	-	-	-
109	Guanfacine	-	-	-	-
110	127	-	-	-	-
111	Hexylresorcinol, 4-	-	-	-	-
112	Hydralazine	+	+	+	+
113	Hydrochlorothiazide	-	-	-	-
114	Hydroxyquinoline, 8-	-	-	-	-
115	Indapamide	-	-	-	-
116	206	-	-	-	-
117	Indomethacine	-	-	-	-
118	Iodinated glycerol	+	-	-	+
