Compound Id	s
1	0
2	0
3	0
4	0
5	1
6	1
7	0
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	0
53	0
54	0
55	0
56	1
57	1
58	1
59	0
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	0
71	1
72	1
73	0
74	0
75	0
76	1
77	1
78	0
79	0
80	0
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	0
96	0
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	0
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	0
122	0
123	1
124	1
125	0
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	0
137	0
138	0
139	1
140	1
141	1
142	1
143	0
144	0
145	1
146	1
147	1
148	1
149	1
150	0
151	1
152	1
153	1
154	1
155	1
156	1
157	0
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	0.303
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	0
263	-1
264	-0.4
265	-0.143
266	-0.222
267	-0.1
268	-0.074
269	-0.25
270	0
271	-0.143
272	-0.314
