Compound Id	as
Tr_1	-0.0502
Tr_2	0.27283
Tr_3	0.02548
Tr_4	0.17633
Tr_5	0.15129
Tr_6	0.14108
Tr_7	0.10604
Tr_8	0.14288
Tr_9	0.0532
Tr_10	0.18535
Tr_11	0.47325
Tr_12	0.20117
Tr_13	0.4198
Tr_14	0.21937
Tr_15	0.064
Tr_16	0.00378
Tr_17	0.02858
Tr_18	0.20217
Tr_19	-0.0476
Tr_20	0.07721
Tr_21	0.93779
Tr_22	0.46803
Tr_23	0.5252
Tr_24	0.06281
Tr_25	0.40879
Tr_26	0.57634
Tr_27	0.01057
Tr_28	0.40003
Tr_29	-0.01142
Tr_30	0.54221
Tr_31	0.10301
Tr_32	0.067
Tr_33	0.5607
Tr_34	0.10874
Tr_35	0.03579
Tr_36	0.41894
Tr_37	0.12946
Tr_38	0.13627
Tr_39	0.45416
Tr_40	0.42806
Tr_41	0.31564
Tr_42	0.13847
Tr_43	0.64408
Tr_44	-0.08209
Tr_45	-0.0458
Tr_46	0.0788
Tr_47	0.38106
Tr_48	-0.0063
Tr_49	0.44232
Tr_50	1.03457
Tr_51	0.47607
Tr_52	0.02278
Tr_53	0.21739
Tr_54	0.02878
Tr_55	0.14609
Tr_56	0.072
Tr_57	0.09041
Tr_58	0.42923
Tr_59	0.13205
Tr_60	0.09683
Tr_61	0.23323
Tr_62	0.14027
Tr_63	0.09661
Tr_64	-0.02741
Tr_65	0.30178
Tr_66	0.07099
Tr_67	0.04838
Tr_68	0.60935
Tr_69	0.11525
Tr_70	0.13326
Tr_71	0.00818
Tr_72	0.10142
Tr_73	0.30497
Tr_74	0.43908
Tr_75	-0.03702
Tr_76	0.37202
Tr_77	0.72993
Tr_78	0.59917
Tr_79	0.48771
Tr_80	0.15119
Tr_81	0.56569
Tr_82	0.13867
Tr_83	0.63081
Tr_84	0.25568
Tr_85	0.10083
Tr_86	0.16531
Tr_87	-0.12814
Tr_88	0.16531
Tr_89	0.6292
Tr_90	0.18013
Tr_91	0.04178
Va_1	0.26417
Va_2	0.34134
Va_3	0.41779
Va_4	0.60203
Va_5	0.17006
Va_6	-0.01322
Va_7	-0.11335
Va_8	0.59989
Va_9	0.45616
Va_10	0.11925
Va_11	-0.01882
Va_12	0.07561
Va_13	0.09543
Va_14	-0.07779
Va_15	0.34454
Va_16	0.52911
Va_17	0.0594
Va_18	0.05918
Va_19	0.4835
