Compound Id	H-donor charged surface area (MOPAC PC)
AMF1	19.96
AMF2	38.47
AMF3	12.26
AMF4	6.31
AMF5	11.57
AMF6	12.18
AMF7	13.12
AMF8	28.19
AMF9	6.72
AMF10	27.56
AMF11	6.18
AMF12	6.52
AMF13	5.29
AMF14	27.55
AMF15	9.89
AMF16	6.65
AMF17	43.89
AMF18	20.03
AMF19	4.82
AMF20	18.38
AMF21	9.76
AMF22	16.05
AMF23	8.98
AMF24	6.02
AMF25	16.15
AMF26	7.08
AMF27	13.01
AMF28	10.95
AMF29	6.42
AMF30	6.79
AMF31	6.81
AMF32	30.6
AMF33	4.56
AMF34	5.14
AMF35	14.58
AMF36	5.7
AMF37	8.85
AMF38	12.85
AMF39	5.54
AMF40	8.17
AMF41	15.19
AMF42	19.31
AMF43	16.72
AMF44	18.11
AMF45	19.14
AMF46	16.96
AMF47	16.08
AMF48	15.3
AMF49	19.44
AMF50	18.83
AMF51	24.23
AMF52	17.65
AMF53	24.78
AMF54	16.79
AMF55	18.98
AMF56	15.95
AMF57	12.81
AMF58	5.49
AMF59	30.13
AMF60	6.82
