Compound Id	Average complementary information content (order 2)
AMF1	0.44
AMF2	0.67
AMF3	0.85
AMF4	0.97
AMF5	1.66
AMF6	0.59
AMF7	0.39
AMF8	0.4
AMF9	0.71
AMF10	0.66
AMF11	0.95
AMF12	0.8
AMF13	1.13
AMF14	0.67
AMF15	1.05
AMF16	1.12
AMF17	0.79
AMF18	1.18
AMF19	0.35
AMF20	0.96
AMF21	0.94
AMF22	1.03
AMF23	1.01
AMF24	0.65
AMF25	0.8
AMF26	0.53
AMF27	0.96
AMF28	0.29
AMF29	1.07
AMF30	0.9
AMF31	1.02
AMF32	0.75
AMF33	1.08
AMF34	0.65
AMF35	0.9
AMF36	0.73
AMF37	1.26
AMF38	1.16
AMF39	1.1
AMF40	1.01
AMF41	0.86
AMF42	0.67
AMF43	0.59
AMF44	0.96
AMF45	0.96
AMF46	0.69
AMF47	0.95
AMF48	0.77
AMF49	0.74
AMF50	0.73
AMF51	0.67
AMF52	1.02
AMF53	0.95
AMF54	0.74
AMF55	0.61
AMF56	0.64
AMF57	1.02
AMF58	1.41
AMF59	0.75
AMF60	1.14
