Compound Id	nHBDon_Lipinski
1	0
2	2
3	0
4	0
5	0
6	2
7	0
8	2
9	2
10	0
11	1
12	1
13	1
14	1
15	0
16	0
17	0
18	2
19	1
20	1
21	1
22	0
23	0
24	0
25	0
26	0
27	1
28	1
29	0
30	1
31	0
32	0
33	0
34	1
35	1
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	2
45	1
46	0
47	1
48	2
49	1
50	0
51	0
52	0
53	2
54	0
55	1
56	1
57	0
58	0
59	1
60	0
61	2
62	2
63	0
64	0
65	1
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	1
74	0
75	0
76	1
77	0
78	0
79	1
80	1
81	0
82	0
83	2
84	0
85	0
86	0
87	0
88	1
89	0
90	0
91	1
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	1
103	0
104	1
105	0
106	0
107	2
108	0
109	0
110	0
111	0
112	0
113	0
114	1
115	0
116	0
117	0
118	1
119	1
120	1
121	1
122	0
123	0
124	2
125	0
126	1
127	0
128	0
129	0
130	1
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	2
139	0
140	0
141	1
142	0
143	0
144	0
145	1
146	1
147	0
148	0
149	0
150	1
151	0
152	0
153	0
154	0
155	0
156	0
157	1
158	0
159	0
160	0
161	0
162	1
163	0
164	1
165	0
166	0
167	0
168	1
169	0
170	0
171	0
172	1
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
