Compound Id	2-day Tetrahymena toxicity as log(1/IGC50)
1	-0.32
2	-0.29
3	-0.16
4	0.14
5	0.42
6	0.28
7	0.21
8	0.64
9	-1.49
10	0.33
11	0.91
12	1.23
13	1.38
14	0.28
15	-0.65
16	-0.33
17	-0.14
18	1.36
19	0.18
20	0.54
21	0.80
22	1.06
23	1.04
24	1.41
25	2.21
26	2.72
27	1.70
28	2.03
29	0.67
30	0.54
31	0.95
32	1.10
33	1.80
34	1.73
35	-0.23
36	-0.05
37	0.05
38	1.07
39	0.88
40	1.38
41	-0.25
42	1.35
43	1.79
44	0.20
45	0.77
46	-0.02
47	0.76
48	0.69
49	0.78
50	1.25
51	1.79
52	1.05
53	0.13
54	1.97
55	1.08
56	NTAS
57	1.22
58	1.71
59	0.08
60	0.14
61	0.42
62	0.10
63	0.73
64	0.63
65	1.30
66	0.64
67	2.60
68	2.19
69	-1.43
70	-0.81
71	-0.81
72	-1.63
73	-0.18
74	-0.74
75	-0.40
76	0.98
77	-1.84
78	-1.19
79	1.36
80	1.01
81	0.59
82	1.12
83	2.06
84	2.47
85	2.66
86	1.37
87	2.43
88	NTAS
89	0.36
90	1.80
91	NTAS
92	NTAS
93	1.42
