Compound Id	Energy of the lowest unoccupied molecular orbital
1	-0.5171
2	0.0921
3	-0.4860
4	-0.4775
5	-0.4820
6	0.6633
7	-0.1389
8	0.0503
9	-0.4805
10	0.4707
11	0.0542
12	-0.1411
13	0.8663
14	0.3805
15	0.8970
16	0.8746
17	-0.1144
18	-0.1612
19	0.8210
20	0.0585
21	-0.1179
22	0.4742
23	0.8686
24	-0.5950
25	0.8762
26	0.9163
27	0.8697
28	-0.0930
29	0.0669
30	-0.1151
31	0.4830
32	0.9166
33	0.9009
34	-0.5831
35	0.0782
36	0.8689
37	-0.1143
38	0.8638
39	0.0692
40	0.0782
41	-0.1014
42	0.8668
43	0.0708
44	-0.1145
45	-0.1256
46	0.9142
47	-0.5816
48	0.8663
49	-0.1144
50	0.8665
51	0.8565
52	-0.1151
53	0.8668
54	0.8233
55	0.8649
56	0.8656
