Compound Id	Number of hydrogen bond donor centres
1	3
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	2
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	2
41	2
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	2
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	2
68	1
69	1
70	2
71	2
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	2
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	2
95	1
96	1
97	1
98	1
99	1
100	1
101	2
102	1
103	1
104	1
105	2
106	2
107	2
108	1
109	1
110	2
111	2
112	1
113	1
114	2
115	2
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	2
125	1
126	1
127	2
128	2
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	2
146	1
147	2
148	2
149	3
150	3
151	2
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	2
173	3
174	2
175	3
176	2
177	2
178	2
179	2
180	2
181	2
182	2
183	2
184	2
185	2
186	2
187	2
188	2
189	2
190	2
191	2
192	2
193	2
194	2
195	2
196	2
197	2
198	2
199	1
200	2
201	2
202	1
203	1
204	1
205	2
206	1
207	1
208	1
209	1
210	2
211	1
212	1
213	1
214	1
215	1
216	1
217	2
218	1
219	1
220	1
221	1
