Compound Id	FP
1	175
2	282
3	251
4	192
5	365
6	199
7	273
8	84
9	75
10	266
11	305
12	105
13	154
14	180
15	208
16	199
17	116
18	139
19	210
20	150
21	161
22	157
23	113
24	115
25	149
26	135
27	129
28	185
29	176
30	153
31	157
32	156
33	149
34	193
35	192
36	190
37	194
38	135
39	176
40	377
41	110
42	135
43	164
44	180
45	149
46	156
47	161
48	197
49	139
50	55
51	232
52	149
53	310
54	160
55	154
56	152
57	298
58	210
59	145
60	106
61	131
62	82
63	53
64	102
65	205
66	109
67	173
68	171
69	124
70	149
71	103
72	154
73	164
74	139
75	149
76	211
77	212
78	106
79	116
80	130
81	170
82	165
83	158
84	152
85	141
86	146
87	145
88	182
89	187
90	158
91	207
92	179
93	129
94	131
95	147
96	264
97	165
98	193
99	350
100	178
101	140
102	293
103	265
104	91
105	105
106	251
107	97
108	192
109	59
110	275
111	385
112	183
113	168
114	262
115	191
116	166
117	169
118	143
119	171
120	200
121	70
122	165
123	228
124	157
125	215
126	133
127	156
128	169
129	176
130	149
131	132
132	182
133	180
134	177
135	170
136	300
137	199
138	122
139	149
140	170
141	176
142	157
143	139
144	117
145	127
146	179
147	174
148	174
149	286
150	273
151	127
