Compound Id	GATS1v
3aa	0.682
3ab	0.703
3ba	0.792
3be	0.875
3bf	0.832
3de	0.818
3df	0.788
3dk	0.832
3dl	0.786
3ea	0.787
3eb	0.821
3ee	0.868
3ef	0.828
3eh	0.65
3ei	0.793
3el	0.824
3en	0.824
3fb	0.818
3ff	0.824
3fi	0.784
3fn	0.821
3gb	0.753
3gh	0.479
3gn	0.753
3go	0.662
3hb	0.726
3ho	0.63
3ib	0.792
3if	0.795
4aa	0.682
4ab	0.703
4dl	0.786
7aa	0.598
7ac	0.702
7bc	0.953
5ba	0.792
5bb	0.824
5be	0.875
5bf	0.832
5bh	0.657
5bi	0.804
5ch	0.76
5cj	0.76
5_da	0.686
5da	0.745
5_db	0.705
5db	0.784
5de	0.818
5df	0.788
5_dh	0.533
5dh	0.61
5di	0.737
5dj	0.61
5dk	0.832
5_dl	0.707
5dl	0.786
5dm	0.537
6ac	0.485
6ad	0.631
6bd	0.8
6bg	0.783
6dc	0.782
