Compound Id	Highest logarithmic effective membrane permeability for pH range 3 to 9 of ampholytic compounds
AMF1	-7.87
AMF2	-7.6
AMF3	-6.15
AMF4	-5.98
AMF5	-7.2
AMF6	-7.06
AMF7	-6.54
AMF8	-7.92
AMF9	-6.05
AMF10	-6.82
AMF11	-7.23
AMF12	-7.24
AMF13	-6.03
AMF14	-7.16
AMF15	-7.54
AMF16	-6.78
AMF17	-8.26
AMF18	-6.84
AMF19	-6.68
AMF20	-6.71
AMF21	-7.34
AMF22	-6.05
AMF23	-7.28
AMF24	-4.42
AMF25	-7.08
AMF26	-5.12
AMF27	-6.68
AMF28	-6.48
AMF29	-7.59
AMF30	-7.41
AMF31	-7.1
AMF32	-7.7
AMF33	-7.32
AMF34	-4.31
AMF35	-7.64
AMF36	-5.3
AMF37	-6.36
AMF38	-6.37
AMF39	-7.37
AMF40	-6.2
AMF41	-7.33
AMF42	-7.18
AMF43	-7.34
AMF44	-6.11
AMF45	-6.36
AMF46	-7.19
AMF47	-6.99
AMF48	-7.28
AMF49	-6.9
AMF50	-6.81
AMF51	-6.81
AMF52	-7.27
AMF53	-7.23
AMF54	-7.23
AMF55	-6.63
AMF56	-7.28
AMF57	-6.82
AMF58	-4.34
AMF59	-6.72
AMF60	-5.91
