Compound Id	Logarithmic effective membrane permeability of ampholytic compoundsat pH 9
AMF1	-7.87
AMF2	-7.6
AMF3	-6.15
AMF4	-6
AMF5	-7.36
AMF6	-7.11
AMF7	-7.02
AMF8	-8
AMF9	-6.05
AMF10	-6.82
AMF11	-7.49
AMF12	-7.24
AMF13	-6.32
AMF14	-7.16
AMF15	-7.72
AMF16	-7.01
AMF17	-8.26
AMF18	-6.9
AMF19	-6.68
AMF20	-6.71
AMF21	-7.34
AMF22	-6.05
AMF23	-7.38
AMF24	-7.01
AMF25	-7.08
AMF26	-5.12
AMF27	-6.68
AMF28	-6.48
AMF29	-7.96
AMF30	-7.41
AMF31	-7.23
AMF32	-7.9
AMF33	-7.5
AMF34	-6.3
AMF35	-7.93
AMF36	-5.3
AMF37	-6.53
AMF38	-6.37
AMF39	-7.45
AMF40	-6.22
AMF41	-7.38
AMF42	-7.54
AMF43	-7.4
AMF44	-7.4
AMF45	-7.45
AMF46	-7.36
AMF47	-7.33
AMF48	-7.34
AMF49	-7.33
AMF50	-7.02
AMF51	-7.44
AMF52	-7.27
AMF53	-7.3
AMF54	-7.67
AMF55	-7.15
AMF56	-7.35
AMF57	-7.33
AMF58	-5.31
AMF59	-7.25
AMF60	-5.91
