Compound Id	Logarithmic effective membrane permeability at pH 7.4 for ampholytic compounds
AMF1	-7.92
AMF2	-7.74
AMF3	-6.27
AMF4	-6.05
AMF5	-7.3
AMF6	-7.06
AMF7	-7.1
AMF8	-7.98
AMF9	-6.14
AMF10	-6.96
AMF11	-7.32
AMF12	-7.31
AMF13	-6.03
AMF14	-7.32
AMF15	-7.56
AMF16	-6.78
AMF17	-8.53
AMF18	-6.84
AMF19	-6.73
AMF20	-6.9
AMF21	-7.34
AMF22	-6.1
AMF23	-7.35
AMF24	-6.44
AMF25	-7.69
AMF26	-5.33
AMF27	-6.77
AMF28	-6.72
AMF29	-7.99
AMF30	-7.47
AMF31	-7.25
AMF32	-7.7
AMF33	-7.32
AMF34	-5.69
AMF35	-7.79
AMF36	-5.34
AMF37	-6.57
AMF38	-6.43
AMF39	-7.39
AMF40	-6.2
AMF41	-7.4
AMF42	-7.42
AMF43	-7.39
AMF44	-7.05
AMF45	-7.27
AMF46	-7.31
AMF47	-7.07
AMF48	-7.36
AMF49	-7.28
AMF50	-6.96
AMF51	-7.37
AMF52	-7.34
AMF53	-7.35
AMF54	-7.26
AMF55	-6.95
AMF56	-7.39
AMF57	-7.41
AMF58	-5.02
AMF59	-6.96
AMF60	-5.94
