Compound Id	Logarithmic effective membrane permeability at pH 5 for ampholytes
AMF1	-7.91
AMF2	-7.94
AMF3	-6.31
AMF4	-5.98
AMF5	-7.2
AMF6	-7.17
AMF7	-6.91
AMF8	-7.96
AMF9	-6.38
AMF10	-7.16
AMF11	-7.24
AMF12	-7.27
AMF13	-6.86
AMF14	-7.32
AMF15	-7.55
AMF16	-7.4
AMF17	-8.68
AMF18	-7.07
AMF19	-6.85
AMF20	-7.05
AMF21	-7.37
AMF22	-6.1
AMF23	-7.28
AMF24	-4.5
AMF25	-7.86
AMF26	-6.34
AMF27	-6.77
AMF28	-6.84
AMF29	-7.59
AMF30	-7.56
AMF31	-7.1
AMF32	-7.98
AMF33	-7.42
AMF34	-4.4
AMF35	-7.64
AMF36	-5.3
AMF37	-6.36
AMF38	-6.59
AMF39	-7.37
AMF40	-6.22
AMF41	-7.33
AMF42	-7.21
AMF43	-7.34
AMF44	-6.19
AMF45	-6.43
AMF46	-7.19
AMF47	-6.99
AMF48	-7.28
AMF49	-6.97
AMF50	-6.81
AMF51	-6.82
AMF52	-7.27
AMF53	-7.23
AMF54	-7.23
AMF55	-6.63
AMF56	-7.28
AMF57	-6.93
AMF58	-4.34
AMF59	-6.72
AMF60	-6.08
