Compound Id	Number of hydrogen bond donors (using Lipinski's definition: Any OH or NH. Each available hydrogen atom is counted as one hydrogen bond donor)
348	0
353	0
354	0
355	0
360	0
362	0
366	0
373	0
386	0
387	0
388	0
389	2
390	0
391	0
392	0
393	0
394	0
395	0
396	2
397	0
398	2
399	2
400	0
401	1
402	1
403	1
404	1
405	1
406	1
407	1
408	0
409	0
410	0
411	2
412	1
413	1
414	1
415	0
416	0
417	0
418	0
419	0
420	2
421	0
422	0
423	0
424	1
425	1
426	0
427	1
428	0
429	0
430	0
431	1
432	1
433	0
434	0
435	0
436	0
437	0
438	0
439	2
440	1
441	0
442	1
443	2
444	1
445	0
446	0
447	0
448	2
449	0
450	4
451	1
452	1
453	0
454	0
455	1
456	0
457	2
458	2
459	0
460	0
461	0
462	1
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	1
471	0
472	0
473	1
474	0
475	0
476	0
477	1
478	1
479	0
480	0
481	2
482	0
483	0
484	0
485	0
486	0
487	1
488	2
489	0
490	0
491	1
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	2
504	1
505	0
506	1
507	0
508	0
509	0
510	2
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	1
522	3
523	0
524	0
525	0
526	0
527	1
528	0
529	0
530	1
531	0
532	1
533	0
534	1
535	1
536	0
537	0
538	2
539	0
540	1
541	0
542	0
543	0
544	2
545	1
546	0
547	0
548	0
549	0
550	1
551	0
552	0
553	0
554	2
555	0
556	3
557	0
558	1
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	1
569	1
570	0
571	0
572	0
573	0
574	1
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	1
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	1
594	0
595	0
596	0
597	2
598	1
599	0
600	0
601	0
602	0
603	1
604	0
605	0
606	0
607	0
608	1
609	0
610	2
611	0
612	0
613	0
614	0
615	0
616	0
617	0
618	0
619	0
620	0
621	0
622	0
623	0
624	0
625	0
626	0
627	0
