Compound Id	Number of hydrogen bond acceptors (any oxygen; any nitrogen where the formal charge of the nitrogen is non-positive (i.e. formal charge <= 0) except a non-aromatic nitrogen that is adjacent to an oxygen and aromatic ring, or an aromatic nitrogen with a hydrogen atom in a ring, or an aromatic nitrogen with 3 neighouring atoms in a ring, or a nitrogen with total bond order >=4; any fluorine)
1	3
4	2
5	4
6	4
7	4
8	4
9	4
10	2
12	3
13	3
14	3
16	3
17	3
18	8
20	3
21	7
22	3
23	3
24	5
25	9
26	3
27	3
28	9
29	3
31	8
98	6
99	2
100	6
109	6
117	5
122	2
123	5
126	4
128	3
129	5
131	4
132	3
133	3
134	4
136	6
137	6
138	3
139	6
144	5
146	4
147	10
148	10
173	4
174	5
