Compound Id	Pubchem fingerprint — simple smart pattern: Clsingle bondC:Csingle bond[#1] These bits test for the presence of simple SMARTS patterns, regardless of count, but where bond orders are specific and bond aromaticity matches both single and double bonds.
1506	1
1507	1
1508	0
1509	1
1510	1
1511	1
1512	1
1513	1
1514	1
1515	1
1516	1
1517	1
1518	1
1519	0
1520	0
1521	0
1522	1
1523	1
1524	1
1525	1
1526	1
1527	0
1528	1
1529	0
1530	0
1531	0
1532	0
1533	0
1534	0
1535	0
1536	0
1537	0
1538	0
1539	0
1540	0
1541	0
1542	0
1543	0
1544	0
1545	0
1546	0
